Id,Route,Group,Length
4,Platinum way,roads,1192 mi
990,Shatharb lane,searoutes,877 mi
1,The Obscure Yepelian route,roads,847 mi
1033,Divine seaway,searoutes,835 mi
6,Flower road,roads,746 mi
597,Ilaugroth pass,trails,702 mi
604,Dobetish trail,trails,693 mi
498,Ziledzah track,trails,693 mi
316,Kumush trail,trails,666 mi
986,Topkoybur seaway,searoutes,624 mi
0,Dokuz way,roads,604 mi
232,Tulbarak trail,trails,584 mi
3,Wild way,roads,574 mi
319,Ozuzaburuan track,trails,549 mi
1024,Jade sea route,searoutes,541 mi
453,Shunnerg trail,trails,514 mi
587,Blus path,trails,509 mi
1038,Khundus passage,searoutes,504 mi
207,Jeweled track,trails,500 mi
5,Echo road,roads,493 mi
417,Vulthan trail,trails,488 mi
220,The Sacred Khatholan track,trails,478 mi
73,Dhezronese pass,trails,474 mi
921,Rhiqedan track,trails,473 mi
994,Baydian passage,searoutes,472 mi
650,The Serpentine Zabilndus path,trails,461 mi
723,Rhiqan path,trails,458 mi
9,Glowing road,roads,453 mi
218,Gakeraran trail,trails,447 mi
7,The Winding Titan way,roads,446 mi
562,Kleivan trail,trails,440 mi
897,Khonrud path,trails,429 mi
123,Sun trail,trails,424 mi
672,Harcadar track,trails,423 mi
834,Khizdushund trail,trails,419 mi
303,Tulukkhaz trail,trails,413 mi
2,Ember way,roads,407 mi
163,Jaldhean path,trails,404 mi
482,Gagalddud track,trails,402 mi
1014,The Silent Velvet lane,searoutes,401 mi
773,Rhekisiaq trail,trails,383 mi
357,Kopuz pass,trails,372 mi
8,The Echoing Wraith highway,roads,370 mi
702,Managlothviing track,trails,369 mi
416,Storestglenese pass,trails,363 mi
81,Glowing trail,trails,355 mi
726,Ongniud track,trails,346 mi
720,Bhian trail,trails,344 mi
151,Kor Okut trail,trails,344 mi
412,Burthugan trail,trails,343 mi
327,Littpeak trail,trails,343 mi
1019,Banocarayan sea route,searoutes,335 mi
826,Lialraq trail,trails,334 mi
722,Khatsalanzan trail,trails,333 mi
639,Efovedenese trail,trails,332 mi
1026,Yepelian seaway,searoutes,330 mi
839,Galgzahan trail,trails,328 mi
941,Garican trail,trails,328 mi
352,Kiruledhor trail,trails,325 mi
515,Millshield track,trails,322 mi
246,Aslan trail,trails,321 mi
985,Ebon passage,searoutes,317 mi
567,Heartvault trail,trails,316 mi
347,High trail,trails,312 mi
896,Shayanese pass,trails,311 mi
354,Shadowy trail,trails,310 mi
351,Burthugan trail,trails,303 mi
237,Vrazoghan trail,trails,302 mi
903,Thyvenath track,trails,297 mi
811,Zararan pass,trails,294 mi
670,Shunnerg trail,trails,292 mi
819,Imyheluman trail,trails,292 mi
102,Oneyvaleholese trail,trails,285 mi
1008,Nuledan sea route,searoutes,283 mi
910,The Great Narilelwenese trail,trails,283 mi
49,Ultunese trail,trails,283 mi
638,Orkh Ayangor path,trails,281 mi
1002,Naless passage,searoutes,281 mi
78,Dusk track,trails,280 mi
633,Gurvanlig trail,trails,277 mi
632,Tulaandakh trail,trails,276 mi
287,Spectral trail,trails,274 mi
553,Ethereal track,trails,274 mi
947,Nightshade pass,trails,273 mi
836,Shunese trail,trails,271 mi
1042,Guzarbar sea route,searoutes,270 mi
22,The Cobbled Beynak path,trails,269 mi
1003,The Sacred Dawn lane,searoutes,268 mi
818,Galgzah path,trails,260 mi
465,Drardlaug trail,trails,259 mi
715,The Breezy Cloibh'zhor pass,trails,258 mi
450,Ekinsuzunese trail,trails,253 mi
1009,Platinum sea route,searoutes,252 mi
579,The Serpentine Mornhean pass,trails,252 mi
792,Managlothviing path,trails,249 mi
886,Crimson trail,trails,248 mi
1039,Misharb sea route,searoutes,246 mi
1005,Dozokuzkan sea route,searoutes,244 mi
231,Azrassean trail,trails,244 mi
605,Beradian path,trails,243 mi
688,Malanjarmenese track,trails,243 mi
249,Sarprak track,trails,240 mi
315,Kaltoch path,trails,240 mi
682,Chulaanese pass,trails,237 mi
76,Catemeaywan track,trails,236 mi
84,Catemeaywan track,trails,236 mi
991,Taytenayan sea route,searoutes,236 mi
195,Alok trail,trails,236 mi
789,Balanzadian pass,trails,235 mi
681,Khashinchbalese pass,trails,234 mi
916,Nogod trail,trails,234 mi
756,Shagaandelese trail,trails,234 mi
100,Larud pass,trails,233 mi
500,The Cracked Mosshellese trail,trails,233 mi
29,Aharselibian path,trails,232 mi
628,Deadgemouth path,trails,225 mi
950,Halcyon trail,trails,223 mi
997,Sable sea route,searoutes,222 mi
1015,The Misty Rain sea route,searoutes,221 mi
483,Military path,trails,219 mi
745,Zabilndus track,trails,218 mi
753,Sylvan trail,trails,218 mi
280,Dugkizdaran trail,trails,217 mi
1040,Mernanese lane,searoutes,216 mi
664,New trail,trails,215 mi
536,The Shrouded Bozggan trail,trails,215 mi
428,Balemouth path,trails,213 mi
186,Narbiz pass,trails,212 mi
414,Kekerian track,trails,209 mi
45,Erdian pass,trails,209 mi
627,Ginylean trail,trails,207 mi
31,The Winding Yerinsemir trail,trails,207 mi
10,The Obscure Erelian path,trails,206 mi
286,Yekepean trail,trails,205 mi
764,Tsayangaian trail,trails,202 mi
658,Naranean trail,trails,202 mi
461,Nudhan pass,trails,201 mi
998,Crimson seaway,searoutes,201 mi
41,Sumantaylan path,trails,201 mi
345,Kokopumanian trail,trails,198 mi
1022,Yaneki Kan lane,searoutes,198 mi
1018,The Sacred Dawn sea route,searoutes,196 mi
306,Dirakegean trail,trails,194 mi
960,Taldean path,trails,194 mi
674,Zradan pass,trails,194 mi
741,Qhazruan trail,trails,193 mi
680,Blusan track,trails,192 mi
576,The Winding Crysticean trail,trails,192 mi
982,Rashian sea route,searoutes,192 mi
694,Unzargarth trail,trails,192 mi
88,Yulayadan path,trails,191 mi
271,Kalbruzan trail,trails,191 mi
222,Altayan trail,trails,190 mi
812,Jarleg trail,trails,189 mi
843,Ymseras trail,trails,188 mi
568,Grizenese trail,trails,188 mi
859,Molten path,trails,187 mi
981,Tsayangor sea route,searoutes,187 mi
863,Tsogtsogt trail,trails,187 mi
509,Uluovasian trail,trails,185 mi
371,The Shrouded Rethaladrinnese track,trails,185 mi
423,Srokkekan trail,trails,183 mi
770,Sigkanese trail,trails,182 mi
780,Nakinbhizd trail,trails,182 mi
166,Kaccadian path,trails,181 mi
617,Deadgemouth trail,trails,180 mi
364,The Great Boulpasshian trail,trails,179 mi
872,Cergheian pass,trails,179 mi
64,The Rustic Gholese path,trails,177 mi
173,Frost trail,trails,177 mi
820,Serpent path,trails,174 mi
1017,Tepenoguz sea route,searoutes,174 mi
472,Garakhur pass,trails,173 mi
452,Dalanese trail,trails,173 mi
257,Zrulese track,trails,171 mi
495,Vigkeliz trail,trails,170 mi
449,Horoot Ug On track,trails,170 mi
469,Jaldlaug track,trails,169 mi
793,Tolgi Uurvian path,trails,169 mi
393,Kiruledhor track,trails,168 mi
376,Spectral trail,trails,168 mi
735,Tsayangaian track,trails,168 mi
463,Nurgarth trail,trails,168 mi
199,Lulgor trail,trails,167 mi
475,Yakar pass,trails,166 mi
62,Yekerenese trail,trails,165 mi
892,Radiant trail,trails,165 mi
1051,Gloomouth sea route,searoutes,164 mi
946,Tulanese trail,trails,164 mi
512,Norboldhyr trail,trails,164 mi
999,Crimson sea route,searoutes,164 mi
106,Moon trail,trails,163 mi
244,Vuralelenese trail,trails,163 mi
736,Khatsalanzan pass,trails,162 mi
993,Derenese sea route,searoutes,161 mi
424,The Shrouded Kopuz trail,trails,161 mi
933,Garic trail,trails,161 mi
525,The Serpentine Iymanax trail,trails,161 mi
889,Khulukkzir track,trails,159 mi
577,Autumngulf path,trails,159 mi
899,Shadow pass,trails,158 mi
135,Ghiz pass,trails,155 mi
906,Zarar track,trails,155 mi
677,Paas trail,trails,154 mi
958,The Cobbled Arukthargan trail,trails,152 mi
546,Bayanian pass,trails,152 mi
644,Masishaantyr trail,trails,151 mi
867,Saikhangaian trail,trails,150 mi
849,Jarlish trail,trails,149 mi
548,Kharb trail,trails,149 mi
865,Saikhanese trail,trails,148 mi
390,Dulban path,trails,147 mi
877,Berkh On pass,trails,146 mi
539,The Great Yaban pass,trails,146 mi
653,Kleivan pass,trails,145 mi
311,Eribelenese pass,trails,144 mi
444,Khaneradian trail,trails,144 mi
788,Bulag trail,trails,143 mi
942,Qas'qolese track,trails,142 mi
777,Olumalas track,trails,141 mi
336,Yizirtec trail,trails,141 mi
833,Wraith track,trails,140 mi
15,Alesenese path,trails,139 mi
111,Crowgrosean trail,trails,139 mi
911,Uluunkhaanese pass,trails,139 mi
742,Thykalaletis trail,trails,139 mi
40,Sazdeperev track,trails,139 mi
426,Spectral pass,trails,137 mi
459,The Winding Solfirth trail,trails,137 mi
1023,Tengribayan lane,searoutes,137 mi
490,Mornhean trail,trails,136 mi
988,Shadowy sea route,searoutes,136 mi
640,Sainshilese track,trails,136 mi
733,Dashandan pass,trails,135 mi
821,The Rustic Bomgondel path,trails,134 mi
651,Naranean pass,trails,134 mi
331,Karbeyraz trail,trails,133 mi
746,The Misty Kharan pass,trails,133 mi
484,Jaldlaug trail,trails,132 mi
124,Rudrian trail,trails,132 mi
262,Lastshield trail,trails,132 mi
594,Kheradg pass,trails,131 mi
747,Sirhizsan path,trails,131 mi
858,Zilararam track,trails,131 mi
692,Qosxan path,trails,131 mi
595,The Sacred Chazrucan trail,trails,131 mi
695,Gunulwan track,trails,130 mi
574,Rurbold path,trails,130 mi
1048,The Sacred Dusk sea route,searoutes,130 mi
646,Myangadan trail,trails,129 mi
158,Falcon trail,trails,128 mi
601,Ghost trail,trails,128 mi
486,Gazd path,trails,127 mi
468,Direveinter path,trails,127 mi
57,Urener trail,trails,127 mi
346,Alorcojh track,trails,127 mi
769,Gorthamunz pass,trails,126 mi
932,Indynzanzanese trail,trails,126 mi
850,Kamenzan trail,trails,126 mi
58,Boluan pass,trails,124 mi
530,Duzaran trail,trails,124 mi
716,Zagaan Uul path,trails,124 mi
339,Mosshosean trail,trails,123 mi
869,Dragon trail,trails,123 mi
860,Dargayangelese trail,trails,122 mi
403,Dulfald pass,trails,121 mi
182,Shaleran pass,trails,120 mi
914,Renchan trail,trails,120 mi
389,Ethereal path,trails,120 mi
1028,Mej'jian sea route,searoutes,120 mi
216,Yudzirkinese path,trails,119 mi
456,Storestglen trail,trails,119 mi
760,Arukthargan trail,trails,119 mi
771,Tigrish trail,trails,119 mi
146,Araymir track,trails,119 mi
263,The Shrouded Hargunkin trail,trails,118 mi
408,Gomvatrek path,trails,117 mi
585,Grand trail,trails,117 mi
669,Heimrolese trail,trails,116 mi
1010,Imperial sea route,searoutes,115 mi
283,Dideholese path,trails,114 mi
556,Nurgarth trail,trails,114 mi
956,Hluinonesesian path,trails,113 mi
550,Morbrolese trail,trails,113 mi
798,Iron pass,trails,113 mi
206,The Obscure Or-Ludh trail,trails,112 mi
750,Xarlileuthlian trail,trails,112 mi
856,Tayanzurkh trail,trails,112 mi
21,Aylian trail,trails,112 mi
782,The Echoing Hloiquan trail,trails,112 mi
586,Namunzan trail,trails,112 mi
551,Gakebuch pass,trails,112 mi
481,Shabugean track,trails,111 mi
557,Grizenese pass,trails,111 mi
763,Wraith trail,trails,111 mi
505,Ozuzaburuan pass,trails,111 mi
784,Sirhizsan trail,trails,111 mi
184,Beyruzunese trail,trails,110 mi
204,The Fabled Theodzah trail,trails,110 mi
622,Drugukhaz path,trails,109 mi
457,Westdalean track,trails,108 mi
401,Talkunese pass,trails,108 mi
518,Merkinese trail,trails,108 mi
373,Tulwoluch trail,trails,108 mi
1050,The Silent Lunar sea route,searoutes,107 mi
446,Rudrorguan path,trails,107 mi
898,Nuluran trail,trails,107 mi
115,Shadowy track,trails,107 mi
895,Balaian trail,trails,106 mi
53,Ayrukut path,trails,106 mi
194,Dhodhan track,trails,106 mi
817,Chandan path,trails,105 mi
883,Khakinban track,trails,105 mi
534,The Cracked Yulkarardean trail,trails,105 mi
127,Yakardemsean pass,trails,105 mi
698,Cloibh'zhor trail,trails,104 mi
552,Iron trail,trails,103 mi
143,Unnamed route segment,trails,102 mi
841,The Serpentine Kyatheirian track,trails,102 mi
701,Saintsian trail,trails,102 mi
599,The Cobbled Ustintakean path,trails,102 mi
411,Brershan trail,trails,102 mi
540,Nuldungkanese pass,trails,102 mi
908,Shizdushund track,trails,102 mi
844,The Silent Chulaangolese trail,trails,101 mi
462,Boguz pass,trails,101 mi
348,Nelbabundian track,trails,101 mi
356,Shatharb track,trails,101 mi
253,Echo trail,trails,100 mi
418,Igmukish path,trails,100 mi
823,Chandan path,trails,100 mi
635,Kuilan trail,trails,100 mi
82,Ertean trail,trails,100 mi
83,Molten trail,trails,100 mi
894,Titan pass,trails,100 mi
93,Gholese trail,trails,99 mi
648,Randushund trail,trails,99 mi
363,Boylian trail,trails,99 mi
961,Oldshan trail,trails,98 mi
606,Crystalline trail,trails,98 mi
429,Adgrimrud trail,trails,97 mi
927,Tselgervian pass,trails,96 mi
288,Karbeyraz path,trails,96 mi
320,Gloomersian trail,trails,96 mi
394,The Shrouded Lorgan path,trails,96 mi
724,Shayankhumban path,trails,95 mi
419,Drardlaug trail,trails,95 mi
374,Ortarith track,trails,95 mi
774,Zabilndus trail,trails,95 mi
974,Merkiran trail,trails,95 mi
494,Unnamed route segment,trails,95 mi
685,Dashiderdenean pass,trails,94 mi
541,Unnamed route segment,trails,94 mi
614,Srokharb path,trails,93 mi
59,Ayakanyolese trail,trails,93 mi
34,Yalenyol track,trails,93 mi
861,Iron trail,trails,93 mi
827,Dobeth path,trails,93 mi
118,The Serpentine Askan trail,trails,93 mi
935,Khan Ugat path,trails,93 mi
887,Shumush trail,trails,92 mi
904,Celerinese trail,trails,92 mi
219,Unnamed route segment,trails,92 mi
510,Unnamed route segment,trails,92 mi
409,Unnamed route segment,trails,92 mi
175,Ghizan trail,trails,91 mi
396,Aeloragassar pass,trails,91 mi
290,Glumruch track,trails,91 mi
626,Unnamed route segment,trails,91 mi
119,Unnamed route segment,trails,91 mi
708,The Echoing Srurd trail,trails,91 mi
851,Szas'zesh trail,trails,91 mi
114,Molten pass,trails,91 mi
608,Uledhorkian trail,trails,91 mi
464,Crystal trail,trails,90 mi
728,Hoonsacorus trail,trails,90 mi
900,Unnamed route segment,trails,90 mi
558,Harthar path,trails,90 mi
529,The Cracked Yamaman track,trails,90 mi
513,Unnamed route segment,trails,90 mi
344,Korkrilan track,trails,90 mi
174,Aurora track,trails,89 mi
703,Hoonsacorus pass,trails,89 mi
497,Merkinese trail,trails,89 mi
864,Deman Talaian track,trails,89 mi
473,Flower path,trails,88 mi
435,Kilatanese trail,trails,88 mi
870,Rakerolaran path,trails,88 mi
183,Bokuan trail,trails,88 mi
89,Unnamed route segment,trails,88 mi
547,Unnamed route segment,trails,88 mi
707,Unnamed route segment,trails,88 mi
566,Unnamed route segment,trails,87 mi
72,Kud-Ug trail,trails,86 mi
803,Unnamed route segment,trails,86 mi
1030,King sea route,searoutes,86 mi
94,Unnamed route segment,trails,85 mi
984,Ergontalese lane,searoutes,85 mi
85,Yulayadan path,trails,85 mi
248,Mazinban track,trails,85 mi
572,Unnamed route segment,trails,84 mi
349,Derilemir trail,trails,84 mi
905,Cergheian trail,trails,84 mi
304,Unnamed route segment,trails,84 mi
881,Tsogtsogt trail,trails,83 mi
520,Widzirkunese trail,trails,83 mi
131,Ugnodran pass,trails,83 mi
215,Yudzirkin pass,trails,83 mi
381,Dawn trail,trails,83 mi
913,Unnamed route segment,trails,83 mi
440,The Serpentine Idhoran trail,trails,83 mi
107,Unnamed route segment,trails,82 mi
620,The Echoing Yerenbey path,trails,82 mi
211,Shalish trail,trails,82 mi
838,Berkhiderhanese trail,trails,82 mi
1027,Algartensean lane,searoutes,82 mi
835,Unnamed route segment,trails,82 mi
274,Unnamed route segment,trails,82 mi
862,Sapphire path,trails,82 mi
176,Araymir trail,trails,81 mi
857,Unnamed route segment,trails,81 mi
241,Unnamed route segment,trails,81 mi
891,Maragald trail,trails,81 mi
679,Hethroghean track,trails,81 mi
554,The Sacred Snaleverc path,trails,80 mi
762,Unnamed route segment,trails,80 mi
380,Yizirtec trail,trails,80 mi
649,Unnamed route segment,trails,80 mi
965,Unnamed route segment,trails,80 mi
335,Unnamed route segment,trails,80 mi
673,Kuilan track,trails,80 mi
944,Rashian trail,trails,79 mi
873,Unnamed route segment,trails,79 mi
496,Goshundhor trail,trails,79 mi
962,Unnamed route segment,trails,79 mi
754,Unnamed route segment,trails,79 mi
136,Unnamed route segment,trails,79 mi
963,Enoriathlean trail,trails,78 mi
616,Kuilan trail,trails,78 mi
39,Sivrian track,trails,78 mi
642,Wild trail,trails,78 mi
425,The Shrouded Arer pass,trails,78 mi
413,Unnamed route segment,trails,78 mi
460,Unnamed route segment,trails,77 mi
842,Khashinch path,trails,77 mi
397,Unnamed route segment,trails,77 mi
20,Unnamed route segment,trails,77 mi
621,Unnamed route segment,trails,77 mi
995,The Breezy Raven lane,searoutes,77 mi
901,Unnamed route segment,trails,77 mi
51,Unnamed route segment,trails,76 mi
521,Unnamed route segment,trails,76 mi
479,Unnamed route segment,trails,76 mi
697,Unnamed route segment,trails,76 mi
996,Dokuzan passage,searoutes,76 mi
226,Unnamed route segment,trails,76 mi
727,Unnamed route segment,trails,76 mi
323,Unnamed route segment,trails,76 mi
925,Unnamed route segment,trails,75 mi
252,Unnamed route segment,trails,75 mi
368,Igudgezan path,trails,75 mi
951,Siriatheas trail,trails,75 mi
790,Ikhruutagrog trail,trails,74 mi
196,Unnamed route segment,trails,74 mi
549,Unnamed route segment,trails,74 mi
329,Unnamed route segment,trails,74 mi
165,Dokuzdean trail,trails,74 mi
705,Unnamed route segment,trails,74 mi
480,Crysticean pass,trails,74 mi
113,Unnamed route segment,trails,73 mi
325,Unnamed route segment,trails,73 mi
937,The Fabled Shayanese trail,trails,73 mi
264,Unnamed route segment,trails,73 mi
382,Unnamed route segment,trails,73 mi
279,Unnamed route segment,trails,72 mi
564,Unnamed route segment,trails,71 mi
731,Omgondorkhanian trail,trails,71 mi
876,Unnamed route segment,trails,71 mi
660,Unnamed route segment,trails,71 mi
611,Unnamed route segment,trails,71 mi
109,Unnamed route segment,trails,71 mi
375,Unnamed route segment,trails,71 mi
295,Unnamed route segment,trails,70 mi
514,Unnamed route segment,trails,70 mi
358,The Breezy Tulbarak path,trails,70 mi
313,Kolukkan path,trails,70 mi
25,Yerinsemir track,trails,70 mi
217,Ad-Gag pass,trails,70 mi
744,Unnamed route segment,trails,70 mi
964,Unnamed route segment,trails,70 mi
693,Unnamed route segment,trails,69 mi
234,The Silent Ustoch trail,trails,69 mi
205,Unnamed route segment,trails,69 mi
1029,Unnamed route,searoutes,69 mi
227,The Cobbled Sral'ar trail,trails,69 mi
938,Unnamed route segment,trails,68 mi
893,Unnamed route segment,trails,68 mi
65,The Breezy Koyuan pass,trails,68 mi
683,Unnamed route segment,trails,68 mi
528,Unnamed route segment,trails,68 mi
447,Unnamed route segment,trails,68 mi
684,Shagaanian path,trails,68 mi
661,Morootser trail,trails,68 mi
929,Tselgervian path,trails,68 mi
95,Unnamed route segment,trails,68 mi
1055,Eldritch seaway,searoutes,68 mi
1056,Astral lane,searoutes,67 mi
370,Unnamed route segment,trails,67 mi
255,Unnamed route segment,trails,67 mi
170,Shroureshan trail,trails,67 mi
42,Unnamed route segment,trails,67 mi
422,Unnamed route segment,trails,67 mi
1007,The Echoing Flame lane,searoutes,67 mi
721,Unnamed route segment,trails,67 mi
569,Unnamed route segment,trails,66 mi
201,Gar'kess trail,trails,66 mi
297,Unnamed route segment,trails,66 mi
392,Unnamed route segment,trails,66 mi
603,Unnamed route segment,trails,66 mi
294,Naragzan trail,trails,66 mi
125,The Shaky Cen'tirgek trail,trails,66 mi
675,Krarradian pass,trails,66 mi
659,Unnamed route segment,trails,66 mi
193,Shroureshan path,trails,66 mi
794,Unnamed route segment,trails,65 mi
420,Unnamed route segment,trails,65 mi
181,Solheliz trail,trails,65 mi
275,Unnamed route segment,trails,65 mi
907,Spike path,trails,65 mi
1006,Devrekan lane,searoutes,65 mi
138,Unnamed route segment,trails,65 mi
1021,Ghost sea route,searoutes,65 mi
923,Unnamed route segment,trails,65 mi
198,Unnamed route segment,trails,64 mi
848,Unnamed route segment,trails,64 mi
767,Gorthamunz trail,trails,64 mi
837,Unnamed route segment,trails,64 mi
1049,The Shaky Luminous sea route,searoutes,64 mi
466,Unnamed route segment,trails,64 mi
696,Unnamed route segment,trails,64 mi
785,Unnamed route segment,trails,64 mi
379,Unnamed route segment,trails,64 mi
501,Unnamed route segment,trails,64 mi
940,Unnamed route segment,trails,64 mi
250,Moonwalean trail,trails,64 mi
868,Unnamed route segment,trails,63 mi
600,Unnamed route segment,trails,63 mi
333,Unnamed route segment,trails,63 mi
443,Unnamed route segment,trails,63 mi
140,Unnamed route segment,trails,63 mi
645,Unnamed route segment,trails,63 mi
922,Unnamed route segment,trails,63 mi
